field 	 ground_energy 	 magnetization_z 
0.1	 -17.809180987900305 	 -0.9482341632527481 
0.4777777777777778	 -17.84188337854916 	 -0.9247037219023144 
0.8555555555555555	 -17.80143260647069 	 -0.8772106749252006 
1.2333333333333334	 -17.782307369384224 	 -0.7687223405088288 
1.6111111111111112	 -17.734585890315866 	 -0.8336115623459363 
1.988888888888889	 -17.687001604536345 	 4.9169552474567935 
2.3666666666666667	 -17.33907102309085 	 -0.3072755955558165 
2.7444444444444445	 -17.502381767486476 	 -0.20536173087731027 
3.1222222222222222	 -17.69617850680582 	 -0.13903239163392192 
3.5	 -17.908991818320565 	 -0.09968486089390408 
