field 	 ground_energy 	 magnetization_z 
3.0	 -3.1051486810048754 	 -5.288007150698431e-16 
0.1	 -1.9256363415654563 	 0.5218449611435816 
0.2	 -1.955481914821023 	 0.6565900638270017 
0.05	 -1.8816575401453608 	 1.2470716880673407 
0.2	 -1.9554819089648854 	 0.6565900638270017 
0.3	 -1.985379173567824 	 -0.6542606726743587 
0.2	 -1.9676956476936072 	 0.49733709246604424 
0.2	 -1.9676956476936072 	 0.49733709246604424 
0.2	 -1.9676956476936072 	 0.49733709246604424 
0.05	 -1.8937479618184578 	 0.6531522081630194 
0.05	 -1.8816575345446103 	 1.2470716880673407 
0.2	 -1.9554819089648854 	 0.6565900638270017 
0.2	 -1.9433015583447166 	 0.6523121100307999 
0.2	 -1.9433015583447166 	 0.6523121100307999 
0.2	 -1.9554819089648854 	 0.6565900638270017 
0.2	 -1.9554819089648854 	 0.6565900672874531 
0.2	 -1.9554819089648854 	 0.6565900638270017 
0.1	 -1.9256363415654563 	 0.5218449611435816 
0.1	 -1.9256363415654563 	 0.5218449611435816 
0.1	 -1.9256363415654563 	 0.5218449611435816 
0.1	 -1.9256363415654563 	 0.5218449611435816 
0.1	 -1.9256363415654563 	 0.5218449611435816 
0.1	 -1.9256363415654563 	 0.522380996342175 
0.1	 -1.9256363415654563 	 0.522380996342175 
0.1	 -1.9256363415654563 	 0.4138534872967869 
0.1	 -1.9256363415654563 	 0.41385348729678706 
0.1	 -1.9256363415654563 	 1.0 
0.1	 -1.9256363415654563 	 1.0 
